"2026-08-05T14:51:36.803Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","01a4f250-162e-4564-b67c-e6d5ca2e1a10","ev:google-pay:get-merchant",46.8
"2026-08-05T14:51:36.804Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","01a4f250-162e-4564-b67c-e6d5ca2e1a10","ev:google-pay:mount",95.0
"2026-08-05T14:51:40.324Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","0cdb09bb-22fb-4d81-9c6d-ceda0578744e","ev:google-pay:get-app-sdk-config",36.8
"2026-08-05T14:51:40.347Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","0cdb09bb-22fb-4d81-9c6d-ceda0578744e","ev:google-pay:get-merchant",23.3
"2026-08-05T14:51:40.348Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","0cdb09bb-22fb-4d81-9c6d-ceda0578744e","ev:google-pay:mount",65.8
"2026-08-05T14:51:42.759Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","8a62cb47-533d-4b32-bf8f-f492b2fb9b66","ev:google-pay:get-app-sdk-config",52.8
"2026-08-05T14:51:42.805Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","8a62cb47-533d-4b32-bf8f-f492b2fb9b66","ev:google-pay:get-merchant",45.9
"2026-08-05T14:51:42.806Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","8a62cb47-533d-4b32-bf8f-f492b2fb9b66","ev:google-pay:mount",100.7
"2026-08-05T14:51:47.179Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","889584ea-9094-4d45-bf2f-55e1f572d532","ev:google-pay:get-app-sdk-config",27.4
"2026-08-05T14:51:47.206Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","889584ea-9094-4d45-bf2f-55e1f572d532","ev:google-pay:get-merchant",28.7
"2026-08-05T14:51:47.206Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","889584ea-9094-4d45-bf2f-55e1f572d532","ev:google-pay:mount",57.8
"2026-08-05T14:51:51.290Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","6dad1d34-2b24-43e3-8623-ff33152410af","ev:google-pay:get-app-sdk-config",50.1
"2026-08-05T14:51:51.353Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","6dad1d34-2b24-43e3-8623-ff33152410af","ev:google-pay:get-merchant",61.8
"2026-08-05T14:51:51.353Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","6dad1d34-2b24-43e3-8623-ff33152410af","ev:google-pay:mount",117.2
